"Оборонная ул., д.23/17",68\37,"75,95\37,85",12\2
"Оборонная ул., д.27",43\25,"79,6\36,2",85\45
"Огородный пер., д.4, к.3",328\274,"350,55\294,1",7\7
"Огородный пер., д.6, к.1",336\163,"287,45\149",-14\-9
"Промышленная ул., д.12",24\17,"25,9\19,85",8\17
"Промышленная ул., д.26",95\43,"109,7\45,75",15\6
"Промышленная ул., д.28",114\56,"137,55\66",21\18
"Промышленная ул., д.30",15\9,"16,55\13,35",10\48
"Промышленная ул., д.34",62\42,"70,6\24,45",14\-42
"Промышленная ул., д.36",57\29,"68,15\33,65",20\16
"Промышленная ул., д.38",13\6,"16,95\7,9",30\32
"Севастопольская ул., д.6",119\59,"136,85\67,85",15\15
"Севастопольская ул., д.34",30\23,"37,1\31,6",24\37
"Стачек пр., д.1",118\402,"137\468,6",16\17
"Стачек пр., д.2/2",36\62,"67,8\71,3",88\15
"Стачек пр., д.4/1","195,65\0",164\59,-16\-
"Стачек пр., д.6","79,12\39","90,39\67,15",14\72
"Стачек пр., д.8/2",16\23,"23,95\27,7",50\20
"Стачек пр., д.8а","336\114,5","386,4\131,68",15\15
"Стачек пр., д.9",287\147,"187,95\95,05",-35\-35
"Стачек пр., д.10",96\123,"159,65\144,1",66\17
"Стачек пр., д.11","161,671\201,3","249,3\286,1",54\42
"Стачек пр., д.17","397,39\189","519,04\232,1",31\23
"Стачек пр., д.19",757\356,"872,85\429,55",15\21
"Стачек пр., д.21","1756,18\730","2062,28\860,1",17\18
"Стачек пр., д.22",100\118,"165,7\159,95",66\36
"Стачек пр., д.22а",841\349,"974,95\390,9",16\12
"Стачек пр., д.23",603\329,"687,9\389,5",14\18
"Стачек пр., д.24","265,447\0",208\108,-22\-
"Стачек пр., д.29",233\146,"261,95\173,9",12\19
"Стачек пр., д.33/2",58\68,"63,7\93,5",10\38
"Стачек пр., д.34, к.2",63\40,"113,3\59,75",80\49
"Стачек пр., д.35",87\61,"94,05\77,45",8\27
"Стачек пр., д.41",601\435,"701,3\511,55",17\18
"Стачек пр., д.42","57,76\0",38\42,-34\-
"Стачек пр., д.95, к.1",2164\1330,"2550,25\2289,15",18\72
"Стачек пр., д.101, к.1а","1216,68\756","1532,36\977,95",26\29
"Стачек пр., д.101, к.1б","283,05\439","417,61\601,35",48\37
"Стачек пр., д.101, к.1в",1910\1160,"2219,1\1329,25",16\15
"Стачек пр., д.101, к.1г",663\668,"1117,9\1027,4",69\54
"Стачек пр., д.101, к.1д",1299\779,"1487,55\885,3",15\14
"Стачек пр., д.102",39\33,"66,95\59,2",72\79
"Стачек пр., д.103, к.1","1127,25\1344","1511,77\1712,15",34\27
"Стачек пр., д.105, к.2а",642\347,"913,2\543",42\56
"Стачек пр., д.105, к.2б","956,84\824","1744,25\1374,35",82\67
"Стачек пр., д.105, к.2в",2067\1476,"2910\1322,15",41\-10
"Стачек пр., д.105, к.2г",613\536,"1006,7\921,45",64\72
"Стачек пр., д.105, к.2д","2125,26\1430","3008,44\2268,7",42\59
"Стачек пр., д.105, к.2е","1243,37\837","1846,01\1282,15",48\53
"Стачек пр., д.105, к.2ж","2157,5\1076","3019,24\1563,85",40\45
"Стачек пр., д.105, к.2з","892,07\812","1451,17\1300,9",63\60
"Стачек пр., д.107, к.1","993,74\529","1300,57\739,85",31\40
"Тракторная ул., д.3","239,324\0","239,32\0",0\-
"Тракторная ул., д.4",74\46,"81,75\48,15",10\5
"Тракторная ул., д.4а",75\89,"217,45\200,6",190\125
"Тракторная ул., д.5",68\52,"97,9\61,9",44\19
"Тракторная ул., д.6",34\44,"39,3\45,05",16\2
"Тракторная ул., д.6, к.2",29\35,"63,85\42",120\20
"Тракторная ул., д.7",175\94,"137,45\95,4",-21\1
"Тракторная ул., д.8","158,08\0","126,45\135,1",-20\-
"Тракторная ул., д.9",171\143,"213,55\194,6",25\36
"Тракторная ул., д.10",36\28,"59,1\71",64\154
"Тракторная ул., д.12",39\130,"42,7\82,15",9\-37
"Тракторная ул., д.13",84\64,"149,4\111,55",78\74
"Тракторная ул., д.15",131\107,"182,7\93,45",39\-13
"Трамвайный пр., д.5","229,52\0","120,7\132",-47\-
"Трамвайный пр., д.7, к.1",79\126,"131,65\134,65",67\7
"Трамвайный пр., д.7, к.2",391\197,"449,9\235,75",15\20
"Трамвайный пр., д.9, к.1",77\106,"169,5\194,4",120\83
"Трамвайный пр., д.9, к.2",165\86,"186,15\109,25",13\27
"Трамвайный пр., д.11, к.1",0\2,"28,3\26,3",-\1215
"Трамвайный пр., д.11, к.2",17\34,"93,45\83,5",450\146
"Трамвайный пр., д.11, к.3",143\48,"194,8\69,65",36\45
"Трамвайный пр., д.11, к.6",701\313,"745,65\353,15",6\13
