"МАРШАЛА ГОВОРОВА УЛ., д.3/7","294,8\0","327,52\0",11\-
"МАРШАЛА ГОВОРОВА УЛ., д.5/4",237\217,"310,31\271",31\25
"МАРШАЛА ГОВОРОВА УЛ., д.6/5","89,206\83,2","174,84\95",96\14
"МАРШАЛА ГОВОРОВА УЛ., д.7","136,8\78",114\66,-17\-15
"МАРШАЛА ГОВОРОВА УЛ., д.11/3","683,6\0","485,73\0",-29\-
"МАРШАЛА ГОВОРОВА УЛ., д.15","25,752\74,1","37,74\78",47\5
"МАРШАЛА ГОВОРОВА УЛ., д.16",3891\1605,3474\1451,-11\-10
"МАРШАЛА ГОВОРОВА УЛ., д.17","41,292\42","41,85\44",1\5
"МАРШАЛА ГОВОРОВА УЛ., д.21","212,8\172,2",258\172,21\0
"МАРШАЛА ГОВОРОВА УЛ., д.22/10",398\295,381\277,-4\-6
"МАРШАЛА ГОВОРОВА УЛ., д.22, корп.2","94,8\93,5","102,7\92",8\-2
"МАРШАЛА ГОВОРОВА УЛ., д.23","179,2\91,2",133\69,-26\-24
"МАРШАЛА ГОВОРОВА УЛ., д.24",398\317,423\330,6\4
"МАРШАЛА ГОВОРОВА УЛ., д.26, корп.2","271,7\146,3",253\133,-7\-9
"МАРШАЛА ЖУКОВА ПР., д.18А",965\441,954\643,-1\46
"МАРШАЛА ЖУКОВА ПР., д.18Б","2007,7\962,4","1973,42\890,4",-2\-7
"МАРШАЛА ЖУКОВА ПР., д.18В",3441\1279,"3283,2\1207",-5\-6
"МАРШАЛА ЖУКОВА ПР., д.18Г","1093,68\872",1072\850,-2\-3
"МАРШАЛА ЖУКОВА ПР., д.18Д","985,76\531,44",977\512,-1\-4
"МАРШАЛА ЖУКОВА ПР., д.20",,5086\1427,-\-
"МАРШАЛА ЖУКОВА ПР., д.26/16А","717,6\547,2",638\463,-11\-15
"МАРШАЛА ЖУКОВА ПР., д.26/16Б","1410,8\861",1356\825,-4\-4
"МАРШАЛА ЖУКОВА ПР., д.26/16В","1111,6\833,3","1056,33\750",-5\-10
"МАРШАЛА ЖУКОВА ПР., д.28, корп.1","1617\1008,7","1501,36\1100",-7\9
"МАРШАЛА ЖУКОВА ПР., д.30, корп.2А",1023\606,1110\720,9\19
"МАРШАЛА ЖУКОВА ПР., д.30, корп.2Б","564\151,2",484\137,-14\-9
"МАРШАЛА ЖУКОВА ПР., д.30, корп.2В","2670,8\1470,85",2458\1330,-8\-10
"МАРШАЛА ЖУКОВА ПР., д.30, корп.2Г","1183,2\861,6",1060\794,-10\-8
"МАРШАЛА ЖУКОВА ПР., д.30, корп.2Д","2570,4\1408,8",2206\1342,-14\-5
"МАРШАЛА ЖУКОВА ПР., д.30, корп.2Е","758,4\639,4",716\580,-6\-9
"МАРШАЛА ЖУКОВА ПР., д.30, корп.2Ж","1578,5\958,1",1606\907,2\-5
"МАРШАЛА ЖУКОВА ПР., д.32, корп.1","2898,4\1580,7",2876\1450,-1\-8
"МАРШАЛА ЖУКОВА ПР., д.34, корп.1А","1303,9\1010,1",1040\848,-20\-16
"МАРШАЛА ЖУКОВА ПР., д.34, корп.1Б",325\66,282\68,-13\3
