"МОРСКОЙ ПЕХОТЫ УЛ., д.6, корп.1",1345\267,1203\266,-11\0
"МОРСКОЙ ПЕХОТЫ УЛ., д.10, корп.1",1676\921,1662\856,-1\-7
"МОРСКОЙ ПЕХОТЫ УЛ., д.14",1105\552,1089\540,-1\-2
"НАРОДНОГО ОПОЛЧЕНИЯ ПР., д.7",124\49,118\48,-5\-2
"НОВАТОРОВ БУЛЬВАР, д.1",24\39,34\62,42\59
"НОВАТОРОВ БУЛЬВАР, д.3",107\85,120\93,12\9
"НОВООВСЯННИКОВСКАЯ УЛ., д.9",15\9,9\105,-40\1067
"НОВООВСЯННИКОВСКАЯ УЛ., д.13",14\7,14\8,0\14
"НОВООВСЯННИКОВСКАЯ УЛ., д.17А",66\43,107\49,62\14
"НОВООВСЯННИКОВСКАЯ УЛ., д.19, корп.2",218\122,3\9,-99\-93
"НОВОСТРОЕК УЛ., д.8",63\3,65\4,3\33
"НОВОСТРОЕК УЛ., д.12",102\51,64\36,-37\-29
"НОВОСТРОЕК УЛ., д.20",195\159,177\148,-9\-7
"НОВОСТРОЕК УЛ., д.25",355\186,320\185,-10\-1
"НОВОСТРОЕК УЛ., д.27",30\18,31\21,3\17
"НОВОСТРОЕК УЛ., д.28",86\57,69\55,-20\-4
"НОВОСТРОЕК УЛ., д.29",292\138,232\120,-21\-13
"НОВОСТРОЕК УЛ., д.31",280\142,226\119,-19\-16
"НОВОСТРОЕК УЛ., д.33",187\130,196\137,5\5
"НОВОСТРОЕК УЛ., д.35",86\67,65\49,-24\-27
"ОБОРОННАЯ УЛ., д.3",78\81,179\191,129\136
"ОБОРОННАЯ УЛ., д.4",493\286,582\327,18\14
"ОБОРОННАЯ УЛ., д.5",126\271,376\214,198\-21
"ОБОРОННАЯ УЛ., д.6",6\3,4\3,-33\0
"ОБОРОННАЯ УЛ., д.7/20",89\39,53\35,-40\-10
"ОБОРОННАЯ УЛ., д.14",134\64,7\1,-95\-98
"ОБОРОННАЯ УЛ., д.17/13",36\16,101\55,181\244
"ОБОРОННАЯ УЛ., д.19",98\48,104\52,6\8
"ОБОРОННАЯ УЛ., д.20/18",55\21,46\29,-16\38
"ОБОРОННАЯ УЛ., д.23/17",295\47,241\115,-18\145
"ОБОРОННАЯ УЛ., д.27",33\17,78\40,136\135
"ОГОРОДНЫЙ ПЕР., д.4, корп.3",90\68,163\142,81\109
"ОГОРОДНЫЙ ПЕР., д.6, корп.1",172\85,461\233,168\174
"ОГОРОДНЫЙ ПЕР., д.6, корп.2",24\53,62\33,158\-38
"ОГОРОДНЫЙ ПЕР., д.11",121\73,142\0,17\-100
"ПРОМЫШЛЕННАЯ УЛ., д.10",58\29,40\20,-31\-31
"ПРОМЫШЛЕННАЯ УЛ., д.12А",,12\15,-\-
"ПРОМЫШЛЕННАЯ УЛ., д.14",59\0,59\0,0\-
"ПРОМЫШЛЕННАЯ УЛ., д.16",21\13,16\10,-24\-23
"ПРОМЫШЛЕННАЯ УЛ., д.26",98\50,100\50,2\0
"ПРОМЫШЛЕННАЯ УЛ., д.28",58\30,55\27,-5\-10
"ПРОМЫШЛЕННАЯ УЛ., д.30",18\17,18\17,0\0
"ПРОМЫШЛЕННАЯ УЛ., д.34",26\14,28\18,8\29
"ПРОМЫШЛЕННАЯ УЛ., д.36",46\23,28\15,-39\-35
"ПРОМЫШЛЕННАЯ УЛ., д.38",38\20,9\5,-76\-75
"СЕВАСТОПОЛЬСКАЯ УЛ., д.6",67\34,60\31,-10\-9
"СЕВАСТОПОЛЬСКАЯ УЛ., д.34",46\4,103\8,124\100
"СЕВАСТОПОЛЬСКАЯ УЛ., д.43",3\15,31\17,933\13
"СЕВАСТОПОЛЬСКАЯ УЛ., д.45",164\99,224\93,37\-6
"СТАЧЕК ПР., д.1",288\45,275\44,-5\-2
"СТАЧЕК ПР., д.2/2",69\36,82\35,19\-3
"СТАЧЕК ПР., д.4/1",109\65,162\111,49\71
"СТАЧЕК ПР., д.6",160\77,183\77,14\0
"СТАЧЕК ПР., д.8/2",74\39,112\62,51\59
"СТАЧЕК ПР., д.8А",369\297,232\145,-37\-51
"СТАЧЕК ПР., д.9",60\259,719\524,1098\102
"СТАЧЕК ПР., д.10",118\103,138\100,17\-3
"СТАЧЕК ПР., д.11",73\48,95\57,30\19
"СТАЧЕК ПР., д.13",216\154,204\183,-6\19
"СТАЧЕК ПР., д.15",40\14,21\131,-48\836
"СТАЧЕК ПР., д.17",706\372,581\321,-18\-14
"СТАЧЕК ПР., д.19",1103\520,773\399,-30\-23
"СТАЧЕК ПР., д.21",2405\822,1757\570,-27\-31
"СТАЧЕК ПР., д.22",88\103,45\50,-49\-51
"СТАЧЕК ПР., д.22А",667\284,1096\413,64\45
"СТАЧЕК ПР., д.23",824\436,707\389,-14\-11
"СТАЧЕК ПР., д.24",54\39,70\50,30\28
"СТАЧЕК ПР., д.27",185\0,185\0,0\-
"СТАЧЕК ПР., д.29",130\92,366\209,182\127
"СТАЧЕК ПР., д.33/2",153\33,162\37,6\12
"СТАЧЕК ПР., д.34, корп.1",35\36,56\45,60\25
"СТАЧЕК ПР., д.34, корп.2",24\13,29\14,21\8
"СТАЧЕК ПР., д.35",36\35,40\30,11\-14
"СТАЧЕК ПР., д.38",25\13,83\89,232\585
"СТАЧЕК ПР., д.41",569\400,569\401,0\0
"СТАЧЕК ПР., д.42",31\21,39\65,26\210
