"Стачек пр., д.29",155\136,223\143,44\5
"Стачек пр., д.33/2",26\44,29\38,12\-14
"Стачек пр., д.34, к.1",241\129,228\125,-5\-3
"Стачек пр., д.34, к.2",23\15,29\14,26\-7
"Стачек пр., д.35",58\45,34\43,-41\-4
"Стачек пр., д.38",7\4,7\3,0\-25
"Стачек пр., д.41",162\148,312\226,93\53
"Стачек пр., д.42",5\18,4\22,-20\22
"Стачек пр., д.95, к.1",2068\1187,2192\1199,6\1
"Стачек пр., д.101, к.1а","1225,62\655","1394,9\781",14\19
"Стачек пр., д.101, к.1б","728,64\562","700,2\567",-4\1
"Стачек пр., д.101, к.1в",1806\1034,2155\1210,19\17
"Стачек пр., д.101, к.1г",793\663,"776\660,5",-2\0
"Стачек пр., д.101, к.1д",1017\621,1174\723,15\16
"Стачек пр., д.102",68\12,"60,5\10",-11\-17
"Стачек пр., д.103, к.1","854,37\1099","1308,8\1487",53\35
"Стачек пр., д.105, к.2а",855\560,"775,2\498",-9\-11
"Стачек пр., д.105, к.2б","1697,41\1352","1572,7\1277,6",-7\-6
"Стачек пр., д.105, к.2в",2461\1131,2400\1044,-2\-8
"Стачек пр., д.105, к.2г",831\822,"781,3\777,6",-6\-5
"Стачек пр., д.105, к.2д","2353,23\1597","2235,5\1491,8",-5\-7
"Стачек пр., д.105, к.2е","1288,54\766","1262,784\697,2",-2\-9
"Стачек пр., д.105, к.2ж","260,8\1265","2513,8\1232,01",864\-3
"Стачек пр., д.105, к.2з","1164,03\936","1073,85\891,6",-8\-5
"Стачек пр., д.107, к.1","1705,2\776","1486,3\608,3",-13\-22
"Тракторная ул., д.3",45\80,47\78,4\-3
"Тракторная ул., д.4",62\40,75\46,21\15
"Тракторная ул., д.4а",88\102,"72,6\86,9",-18\-15
"Тракторная ул., д.5",72\74,113\77,57\4
"Тракторная ул., д.6",26\35,20\22,-23\-37
"Тракторная ул., д.6, к.2",20\26,15\13,-25\-50
"Тракторная ул., д.7",40\46,67\47,68\2
"Тракторная ул., д.8",16\25,11\25,-31\0
"Тракторная ул., д.9",199\197,"165,6\184,8",-17\-6
"Тракторная ул., д.10",15\22,13\14,-13\-36
"Тракторная ул., д.11",82\42,111\57,35\36
"Тракторная ул., д.12",38\122,40\129,5\6
"Тракторная ул., д.13",78\60,66\53,-15\-12
"Тракторная ул., д.15",76\39,112\61,47\56
"Трамвайный пр., д.5",52\171,"37,4\125,4",-28\-27
"Трамвайный пр., д.7, к.1",92\88,133\96,45\9
"Трамвайный пр., д.7, к.2",522\258,"517\254,1",-1\-2
"Трамвайный пр., д.9, к.1",94\208,"75,6\198",-20\-5
"Трамвайный пр., д.9, к.2",278\115,"239,4\112,2",-14\-2
"Трамвайный пр., д.11, к.1",15\9,14\8,-7\-11
"Трамвайный пр., д.11, к.2",72\68,71\67,-1\-1
"Трамвайный пр., д.11, к.3",115\37,"104,64\34,88",-9\-6
"Трамвайный пр., д.11, к.6",781\339,783\348,0\3
"Трамвайный пр., д.13, к.1",17\4,24\14,41\250
"Трамвайный пр., д.13, к.2",28\26,28\26,0\0
"Трамвайный пр., д.13, к.3",52\31,74\39,42\26
"Трамвайный пр., д.15, к.1",131\153,"87,6\94,8",-33\-38
"Трамвайный пр., д.15, к.2",39\42,76\64,95\52
"Трамвайный пр., д.15, к.3",57\103,"36\88,8",-37\-14
"Трамвайный пр., д.17",26\37,"20\31,9",-23\-14
"Трефолева ул., д.3",1029\444,"1021,8\431,6",-1\-3
"Трефолева ул., д.5",149\149,"110,6\140,4",-26\-6
"Трефолева ул., д.11",41\31,39\27,-5\-13
"Трефолева ул., д.15",620\390,686\443,11\14
"Трефолева ул., д.16",122\147,"99,6\147,6",-18\0
"Трефолева ул., д.22/25","2364,1\1025","2269,1\988,8",-4\-4
"Трефолева ул., д.26",156\90,"124,8\67,6",-20\-25
"Турбинная ул., д.11",124\65,182\97,47\49
"Тургеневский пер., д.3",20\9,22\10,10\11
"Тургеневский пер., д.5",20\34,58\61,190\79
"Урюпин пер., д.2/6",",001\0",",01\0",900\-
"Урюпин пер., д.5",154\135,182\127,18\-6
"Швецова ул., д.6",55\7,8\4,-85\-43
"Швецова ул., д.10",344\406,"313,5\404",-9\0
"Швецова ул., д.11",382\200,"369,6\178,8",-3\-11
"Швецова ул., д.17",546\262,"508,2\247,5",-7\-6
"Швецова ул., д.19","971,19\439","822,4\361,4",-15\-18
"Шотландская ул., д.3",1142\399,1380\520,21\30
