"Стачек пр., д.24","802,02\0","802,02\0",0\-
"Стачек пр., д.29",127\110,114\102,-10\-7
"Стачек пр., д.33/2",73\86,39\49,-47\-43
"Стачек пр., д.34, к.2",130\86,134\78,3\-9
"Стачек пр., д.35",29\25,26\18,-10\-28
"Стачек пр., д.41",500\367,325\257,-35\-30
"Стачек пр., д.42",15\29,12\21,-20\-28
"Стачек пр., д.95, к.1",3948\3035,3211\2243,-19\-26
"Стачек пр., д.101, к.1а","1499,53\1116","1176,53\1109",-22\-1
"Стачек пр., д.101, к.1б","425,64\710","231,64\289",-46\-59
"Стачек пр., д.101, к.1в",2176\1402,1851\1375,-15\-2
"Стачек пр., д.101, к.1г",1019\626,874\373,-14\-40
"Стачек пр., д.101, к.1д",1284\942,782\487,-39\-48
"Стачек пр., д.103, к.1","2014,9\2142","1464,9\1625",-27\-24
"Стачек пр., д.105, к.2а",1009\602,753\490,-25\-19
"Стачек пр., д.105, к.2б","1646,59\1477","1078,59\1026",-34\-31
"Стачек пр., д.105, к.2в",3090\1594,2277\1018,-26\-36
"Стачек пр., д.105, к.2г",1523\1192,1052\715,-31\-40
"Стачек пр., д.105, к.2д",3265\2311,"2412,73\1550",-26\-33
"Стачек пр., д.105, к.2е","1677,68\1267","1247,68\845",-26\-33
"Стачек пр., д.105, к.2ж","3138,24\1799","2384,24\1341",-24\-25
"Стачек пр., д.105, к.2з","1703,92\1300","1135,92\860",-33\-34
"Стачек пр., д.107, к.1","1352,48\694","897,48\505",-34\-27
"Тракторная ул., д.3",45\58,82\108,82\86
"Тракторная ул., д.4",64\49,35\30,-45\-39
"Тракторная ул., д.4а",116\127,169\209,46\65
"Тракторная ул., д.5",94\91,133\139,41\53
"Тракторная ул., д.6",32\37,33\43,3\16
"Тракторная ул., д.6, к.2",28\21,40\35,43\67
"Тракторная ул., д.7","23,93\55","21,93\59",-8\7
"Тракторная ул., д.8",91\106,113\146,24\38
"Тракторная ул., д.9",139\110,195\158,40\44
"Тракторная ул., д.10",21\30,31\45,48\50
"Тракторная ул., д.12",46\33,72\63,57\91
"Тракторная ул., д.13",116\67,127\78,9\16
"Тракторная ул., д.15",278\163,267\171,-4\5
"Трамвайный пр., д.5",106\171,805\0,659\-100
"Трамвайный пр., д.7, к.1",119\149,90\129,-24\-13
"Трамвайный пр., д.7, к.2",602\297,625\314,4\6
"Трамвайный пр., д.9, к.1",220\238,265\248,20\4
"Трамвайный пр., д.9, к.2",177\92,188\97,6\5
"Трамвайный пр., д.11, к.1",49\52,52\65,6\25
"Трамвайный пр., д.11, к.2",101\126,62\113,-39\-10
"Трамвайный пр., д.11, к.3",140\122,146\124,4\2
"Трамвайный пр., д.11, к.6",627\272,762\336,22\24
"Трамвайный пр., д.13, к.1",85\85,85\63,0\-26
"Трамвайный пр., д.13, к.2",47\50,53\54,13\8
"Трамвайный пр., д.13, к.3",,,
"Трамвайный пр., д.15, к.1",136\170,118\178,-13\5
"Трамвайный пр., д.15, к.2",103\88,96\26,-7\-70
"Трамвайный пр., д.15, к.3",94\99,93\102,-1\3
"Трамвайный пр., д.17",50\67,32\57,-36\-15
"Трефолева ул., д.3",818\369,1350\599,65\62
"Трефолева ул., д.5",154\152,220\257,43\69
"Трефолева ул., д.11",15\9,"8,29\14",-45\56
"Трефолева ул., д.15","581,79\500","211,79\309",-64\-38
"Трефолева ул., д.22/25","1482,02\933","1102,02\779",-26\-17
"Трефолева ул., д.26",140\72,93\47,-34\-35
"Турбинная ул., д.11",142\83,131\90,-8\8
"Тургеневский пер., д.3",339\174,529\0,56\-100
"Тургеневский пер., д.5",122\75,135\122,11\63
"Урюпин пер., д.2/6",105\45,149\76,42\69
"Урюпин пер., д.5",118\96,191\147,62\53
"Швецова ул., д.4",35\32,51\47,46\47
"Швецова ул., д.6","20,3\10","59,3\30",192\200
"Швецова ул., д.10","327,57\336","239,57\489",-27\46
"Швецова ул., д.11",630\225,"992,2\158",57\-30
"Шотландская ул., д.3",907\233,761\201,-16\-14
