"Трефолева ул., д.22/25","1599,84\694","1269,2\1099",-21\58
"Трефолева ул., д.26",117\66,91\51,-22\-23
"Турбинная ул., д.11",108\61,110\58,2\-5
"Тургеневский пер., д.3",160\107,165\111,3\4
"Тургеневский пер., д.5",62\42,71\44,15\5
"Урюпин пер., д.2/6",70\35,61\31,-13\-11
"Урюпин пер., д.5",306\220,288\191,-6\-13
"Швецова ул., д.4",101\56,65\34,-36\-39
"Швецова ул., д.6",174\88,117\58,-33\-34
"Швецова ул., д.10",1094\773,810\515,-26\-33
"Швецова ул., д.11",707\300,269\130,-62\-57
"Шотландская ул., д.3",2339\188,809\217,-65\15
