"ТРАКТОРНАЯ УЛ., д.8",52\69,47\71,-10\3
"ТРАКТОРНАЯ УЛ., д.9",118\118,110\95,-7\-19
"ТРАКТОРНАЯ УЛ., д.10",25\6,22\9,-12\50
"ТРАКТОРНАЯ УЛ., д.12",60\56,58\56,-3\0
"ТРАКТОРНАЯ УЛ., д.13",175\124,162\113,-7\-9
"ТРАКТОРНАЯ УЛ., д.15",82\78,76\72,-7\-8
"ТРАМВАЙНЫЙ ПР., д.5",102\120,102\120,0\0
"ТРАМВАЙНЫЙ ПР., д.7, корп.1",169\235,196\234,16\0
"ТРАМВАЙНЫЙ ПР., д.7, корп.2",523\261,585\295,12\13
"ТРАМВАЙНЫЙ ПР., д.9, корп.1",103\212,120\240,17\13
"ТРАМВАЙНЫЙ ПР., д.9, корп.2",179\91,153\78,-15\-14
"ТРАМВАЙНЫЙ ПР., д.11, корп.1",34\34,36\49,6\44
"ТРАМВАЙНЫЙ ПР., д.11, корп.2",45\60,47\52,4\-13
"ТРАМВАЙНЫЙ ПР., д.11, корп.3",60\136,60\117,0\-14
"ТРАМВАЙНЫЙ ПР., д.11, корп.6",999\476,1104\582,11\22
"ТРАМВАЙНЫЙ ПР., д.13, корп.1",121\118,81\73,-33\-38
"ТРАМВАЙНЫЙ ПР., д.13, корп.2",62\56,48\4,-23\-93
"ТРАМВАЙНЫЙ ПР., д.13, корп.3",1050,1050,0
"ТРАМВАЙНЫЙ ПР., д.15, корп.1",118\122,123\104,4\-15
"ТРАМВАЙНЫЙ ПР., д.15, корп.2",84\68,88\64,5\-6
"ТРАМВАЙНЫЙ ПР., д.15, корп.3",41\61,52\64,27\5
"ТРАМВАЙНЫЙ ПР., д.17",66\83,60\73,-9\-12
"ТРЕФОЛЕВА УЛ., д.3",1278\420,751\413,-41\-2
"ТРЕФОЛЕВА УЛ., д.5",208\249,201\232,-3\-7
"ТРЕФОЛЕВА УЛ., д.11",19\56,62\55,226\-2
"ТРЕФОЛЕВА УЛ., д.15",167\407,320\556,92\37
"ТРЕФОЛЕВА УЛ., д.22/25",1496\1008,1139\854,-24\-15
"ТРЕФОЛЕВА УЛ., д.26",143\146,76\39,-47\-73
"ТУРБИННАЯ УЛ., д.11",10\5,3\39,-70\680
"ТУРГЕНЕВСКИЙ ПЕР., д.3",258\147,253\149,-2\1
"ТУРГЕНЕВСКИЙ ПЕР., д.5",149\78,141\76,-5\-3
"УРЮПИН ПЕР., д.2/6",64\36,53\33,-17\-8
"УРЮПИН ПЕР., д.5",232\206,226\201,-3\-2
"ШВЕЦОВА УЛ., д.10",,887\333,-\-
"ШОТЛАНДСКАЯ УЛ., д.3",893\278,722\249,-19\-10
