"СТАЧЕК ПР., д.23","1035\451","1011\420","-2\-7"
"СТАЧЕК ПР., д.24","108\65","98\54","-9\-17"
"СТАЧЕК ПР., д.27","185\0","185\0","0\-"
"СТАЧЕК ПР., д.29","249\122","250\125","0\2"
"СТАЧЕК ПР., д.33/2","64\57","58\52","-9\-9"
"СТАЧЕК ПР., д.34, корп.1","973\371","951\360","-2\-3"
"СТАЧЕК ПР., д.34, корп.2","52\26","52\28","0\8"
"СТАЧЕК ПР., д.35","73\43","87\47","19\9"
"СТАЧЕК ПР., д.38","59\36","72\42","22\17"
"СТАЧЕК ПР., д.41","1332\853","630\0","-53\-100"
"СТАЧЕК ПР., д.42","39\35","40\40","3\14"
"СТАЧЕК ПР., д.95, корп.1","3280\1781","3226\1726","-2\-3"
"СТАЧЕК ПР., д.101, корп.1А","2036\919","2060\760","1\-17"
"СТАЧЕК ПР., д.101, корп.1Б","1126\1000","2112\814","88\-19"
"СТАЧЕК ПР., д.101, корп.1В","2111\1827","2586\1554","23\-15"
"СТАЧЕК ПР., д.101, корп.1Г","1386\1706","1309\1616","-6\-5"
"СТАЧЕК ПР., д.101, корп.1Д","1842\1044","1813\935","-2\-10"
"СТАЧЕК ПР., д.102","63\9","53\7","-16\-22"
"СТАЧЕК ПР., д.103, корп.1","2395\1907","2361\1909","-1\0"
"СТАЧЕК ПР., д.105, корп.2А","1265\745","1187\697","-6\-6"
"СТАЧЕК ПР., д.105, корп.2Б","2570\1762","2591\1719","1\-2"
"СТАЧЕК ПР., д.105, корп.2В","2951\1256","2929\1142","-1\-9"
"СТАЧЕК ПР., д.105, корп.2Г","1045\261","956\610","-9\134"
"СТАЧЕК ПР., д.105, корп.2Д","3499\2294","3507\2280","0\-1"
"СТАЧЕК ПР., д.105, корп.2Е","1957\1378","1920\1303","-2\-5"
"СТАЧЕК ПР., д.105, корп.2Ж","3183\1733","3313\1694","4\-2"
"СТАЧЕК ПР., д.105, корп.2З","1829\1208","1777\1145","-3\-5"
"СТАЧЕК ПР., д.107, корп.1","2372\768","2533\801","7\4"
"ТРАКТОРНАЯ УЛ., д.3","277\156","67\26","-76\-83"
