"КАНОНЕРСКИЙ ОСТРОВ, д.9",2160\825,2190\840,1\2
"КАНОНЕРСКИЙ ОСТРОВ, д.10",2990\1245,2850\1155,-5\-7
"КАНОНЕРСКИЙ ОСТРОВ, д.12",675\340,520\262,-23\-23
"КАНОНЕРСКИЙ ОСТРОВ, д.12, корп.2",583\305,470\247,-19\-19
"КАНОНЕРСКИЙ ОСТРОВ, д.13",337\387,238\333,-29\-14
"КАНОНЕРСКИЙ ОСТРОВ, д.14",493\397,297\297,-40\-25
"КАНОНЕРСКИЙ ОСТРОВ, д.15",81\13,16\8,-80\-38
"КАНОНЕРСКИЙ ОСТРОВ, д.16",132\82,73\53,-45\-35
"КАНОНЕРСКИЙ ОСТРОВ, д.25",239\83,236\89,-1\7
"КОРНЕЕВА УЛ., д.2","1093,45\612","701,1\408",-36\-33
"КОРНЕЕВА УЛ., д.6","1414,4\322","1124,6\267",-20\-17
"КОСИНОВА УЛ., д.5",74\37,44\22,-41\-41
"КОСИНОВА УЛ., д.7","25,76\41","18,4\33",-29\-20
"КОСИНОВА УЛ., д.9/9",115\70,87\55,-24\-21
"КОСИНОВА УЛ., д.14, корп.1",276\300,250\276,-9\-8
"КОСИНОВА УЛ., д.14, корп.2",125\93,114\80,-9\-14
"КРАСНОПУТИЛОВСКАЯ УЛ., д.16/13","715,52\362","682,84\327",-5\-10
"КРАСНОПУТИЛОВСКАЯ УЛ., д.18",113\73,84\54,-26\-26
"КРАСНОПУТИЛОВСКАЯ УЛ., д.20",306\189,340\226,11\20
"КРАСНОПУТИЛОВСКАЯ УЛ., д.26","652,74\295","460,96\244",-29\-17
"КРАСНОПУТИЛОВСКАЯ УЛ., д.28/20","373,44\199","386,88\204",4\3
"ЛЕНИНСКИЙ ПР., д.110, корп.1А",406\340,291\269,-28\-21
"ЛЕНИНСКИЙ ПР., д.110, корп.1Б",1462\1652,1205\1182,-18\-28
"ЛЕНИНСКИЙ ПР., д.120, корп.2",134\121,103\132,-23\9
"ЛЕНИНСКИЙ ПР., д.124","1635,1\711","1557,08\1342",-5\89
"ЛЕНИНСКИЙ ПР., д.130, корп.2",825\388,847\396,3\2
"МАЙКОВ ПЕР., д.3",55\54,48\50,-13\-7
"МАЙКОВ ПЕР., д.5А",70\38,57\31,-19\-18
"МАЙКОВ ПЕР., д.7/1",142\71,113\59,-20\-17
"МАРШАЛА ГОВОРОВА УЛ., д.3/7","323,84\0","343,16\0",6\-
"МАРШАЛА ГОВОРОВА УЛ., д.5/4","252,07\229","275,73\257",9\12
"МАРШАЛА ГОВОРОВА УЛ., д.6/5","87,42\71","97,76\91",12\28
"МАРШАЛА ГОВОРОВА УЛ., д.7",165\89,150\84,-9\-6
"МАРШАЛА ГОВОРОВА УЛ., д.11/3","683,62\0","683,62\0",0\-
"МАРШАЛА ГОВОРОВА УЛ., д.15","45,88\86","37,74\91",-18\6
"МАРШАЛА ГОВОРОВА УЛ., д.16",3392\1525,4125\1730,22\13
"МАРШАЛА ГОВОРОВА УЛ., д.17","73,47\67","53,94\62",-27\-7
"МАРШАЛА ГОВОРОВА УЛ., д.21",293\196,237\187,-19\-5
"МАРШАЛА ГОВОРОВА УЛ., д.22/10","447,12\325","405,72\303",-9\-7
"МАРШАЛА ГОВОРОВА УЛ., д.22, корп.2","115,34\114","102,7\103",-11\-10
"МАРШАЛА ГОВОРОВА УЛ., д.23",179\88,220\112,23\27
"МАРШАЛА ГОВОРОВА УЛ., д.24",405\286,334\257,-18\-10
"МАРШАЛА ГОВОРОВА УЛ., д.26, корп.2",346\177,287\149,-17\-16
"МАРШАЛА ЖУКОВА ПР., д.18А",910\419,899\399,-1\-5
"МАРШАЛА ЖУКОВА ПР., д.18Б","2879,91\1623","2069,1\1060",-28\-35
"МАРШАЛА ЖУКОВА ПР., д.18В",2428\1426,2175\1160,-10\-19
"МАРШАЛА ЖУКОВА ПР., д.18Г","1205,4\1007","1088,78\849",-10\-16
"МАРШАЛА ЖУКОВА ПР., д.18Д",1005\555,990\537,-1\-3
"МАРШАЛА ЖУКОВА ПР., д.26/16А",779\544,759\568,-3\4
"МАРШАЛА ЖУКОВА ПР., д.26/16Б","1704,29\858","1481,19\890",-13\4
"МАРШАЛА ЖУКОВА ПР., д.26/16В","1385,16\952","1199,89\909",-13\-5
"МАРШАЛА ЖУКОВА ПР., д.28, корп.1","1782,62\1213","1628,76\1043",-9\-14
"МАРШАЛА ЖУКОВА ПР., д.30, корп.2А",1170\780,1050\630,-10\-19
"МАРШАЛА ЖУКОВА ПР., д.30, корп.2Б",626\168,606\159,-3\-5
"МАРШАЛА ЖУКОВА ПР., д.30, корп.2В",3117\1873,2748\1530,-12\-18
"МАРШАЛА ЖУКОВА ПР., д.30, корп.2Г",1472\1149,1250\926,-15\-19
"МАРШАЛА ЖУКОВА ПР., д.30, корп.2Д",2982\1756,2630\1430,-12\-19
"МАРШАЛА ЖУКОВА ПР., д.30, корп.2Е",1052\904,808\653,-23\-28
"МАРШАЛА ЖУКОВА ПР., д.30, корп.2Ж",1792\1205,1609\989,-10\-18
"МАРШАЛА ЖУКОВА ПР., д.32, корп.1","3385,3\1793","2930,37\1623",-13\-9
"МАРШАЛА ЖУКОВА ПР., д.34, корп.1А",1493\1738,1393\1047,-7\-40
"МАРШАЛА ЖУКОВА ПР., д.34, корп.1Б",336\63,336\68,0\8
"МАРШАЛА ЖУКОВА ПР., д.34, корп.1В",1853\1523,1527\1302,-18\-15
"МАРШАЛА ЖУКОВА ПР., д.34, корп.1Г","940,8\715","792,82\583",-16\-18
"МАРШАЛА ЖУКОВА ПР., д.34, корп.1Д",648\121,651\131,0\8
"МАРШАЛА ЖУКОВА ПР., д.34, корп.1Е",986\184,989\198,0\8
"МАРШАЛА КАЗАКОВА УЛ., д.1, корп.2",1236\992,887\868,-28\-13
"МАРШАЛА КАЗАКОВА УЛ., д.3, корп.1",1231\564,1033\492,-16\-13
"МАРШАЛА КАЗАКОВА УЛ., д.5, корп.1А","462,6\442",441\402,-5\-9
"МАРШАЛА КАЗАКОВА УЛ., д.5, корп.1Б",990\830,"853,2\734",-14\-12
"МАРШАЛА КАЗАКОВА УЛ., д.10, корп.1А","964,26\905","802,89\767",-17\-15
"МАРШАЛА КАЗАКОВА УЛ., д.10, корп.1Б","841,5\600","686,07\502",-18\-16
"МАРШАЛА КАЗАКОВА УЛ., д.10, корп.1В","1300,86\728","944,46\538",-27\-26
"МАРШАЛА КАЗАКОВА УЛ., д.10, корп.1Д","749,43\833","557,37\668",-26\-20
"МАРШАЛА КАЗАКОВА УЛ., д.13","2382,93\712","2137,59\691",-10\-3
"МЕТРОСТРОЕВЦЕВ УЛ., д.2","183,35\187","179,55\192",-2\3
"МЕТРОСТРОЕВЦЕВ УЛ., д.3","84,33\56","84,33\56",0\0
"МОРСКОЙ ПЕХОТЫ УЛ., д.4",1692\1213,1548\1121,-9\-8
"МОРСКОЙ ПЕХОТЫ УЛ., д.6, корп.1","1471,46\482","1492,1\510",1\6
"МОРСКОЙ ПЕХОТЫ УЛ., д.10, корп.1",1821\929,1553\810,-15\-13
"МОРСКОЙ ПЕХОТЫ УЛ., д.14",1274\712,1072\592,-16\-17
"НАРОДНОГО ОПОЛЧЕНИЯ ПР., д.7",401\178,341\151,-15\-15
"НОВАТОРОВ БУЛЬВАР, д.1","118,8\145","119,7\187",1\29
"НОВАТОРОВ БУЛЬВАР, д.3",115\81,84\55,-27\-32
"НОВООВСЯННИКОВСКАЯ УЛ., д.9",53\35,17\6,-68\-83
"НОВООВСЯННИКОВСКАЯ УЛ., д.13",32\20,46\21,44\5
"НОВООВСЯННИКОВСКАЯ УЛ., д.19, корп.2",33\19,31\12,-6\-37
"НОВОСТРОЕК УЛ., д.8",17\9,26\12,53\33
"НОВОСТРОЕК УЛ., д.20",206\129,203\129,-1\0
"НОВОСТРОЕК УЛ., д.25",238\140,"224,4\131",-6\-6
"НОВОСТРОЕК УЛ., д.27",47\26,20\32,-57\23
"НОВОСТРОЕК УЛ., д.28",93\57,75\51,-19\-11
"НОВОСТРОЕК УЛ., д.29","147,9\87","164,5\96",11\10
"НОВОСТРОЕК УЛ., д.31","209,1\126","245,65\147",17\17
"НОВОСТРОЕК УЛ., д.33",193\146,188\144,-3\-1
"НОВОСТРОЕК УЛ., д.35","318,75\188","242,25\159",-24\-15
"ОБОРОННАЯ УЛ., д.3",123\128,81\99,-34\-23
"ОБОРОННАЯ УЛ., д.4",759\380,727\384,-4\1
"ОБОРОННАЯ УЛ., д.5",356\270,254\230,-29\-15
