"ТРАКТОРНАЯ УЛ., д.7","65\102","59\17","-9\-83"
"ТРАКТОРНАЯ УЛ., д.8","47\71","28\44","-40\-38"
"ТРАКТОРНАЯ УЛ., д.9","110\95","116\79","5\-17"
"ТРАКТОРНАЯ УЛ., д.10","22\9","80\48","264\433"
"ТРАКТОРНАЯ УЛ., д.12","58\56","74\44","28\-21"
"ТРАКТОРНАЯ УЛ., д.13","162\113","100\99","-38\-12"
"ТРАКТОРНАЯ УЛ., д.15","76\72","171\96","125\33"
"ТРАМВАЙНЫЙ ПР., д.5","102\120","102\120","0\0"
"ТРАМВАЙНЫЙ ПР., д.7, корп.1","196\234","133\206","-32\-12"
"ТРАМВАЙНЫЙ ПР., д.7, корп.2","585\295","545\273","-7\-7"
"ТРАМВАЙНЫЙ ПР., д.9, корп.1","120\240","105\261","-13\9"
"ТРАМВАЙНЫЙ ПР., д.9, корп.2","153\78","161\85","5\9"
"ТРАМВАЙНЫЙ ПР., д.11, корп.1","36\49","24\23","-33\-53"
"ТРАМВАЙНЫЙ ПР., д.11, корп.2","47\52","26\77","-45\48"
"ТРАМВАЙНЫЙ ПР., д.11, корп.3","60\117","60\137","0\17"
"ТРАМВАЙНЫЙ ПР., д.11, корп.6","1104\582","870\350","-21\-40"
"ТРАМВАЙНЫЙ ПР., д.13, корп.1","81\73","63\77","-22\5"
"ТРАМВАЙНЫЙ ПР., д.13, корп.2","48\4","29\80","-40\1900"
"ТРАМВАЙНЫЙ ПР., д.13, корп.3",1050,1050,0
"ТРАМВАЙНЫЙ ПР., д.15, корп.1","123\104","105\131","-15\26"
"ТРАМВАЙНЫЙ ПР., д.15, корп.2","88\64","77\67","-13\5"
"ТРАМВАЙНЫЙ ПР., д.15, корп.3","52\64","35\68","-33\6"
"ТРАМВАЙНЫЙ ПР., д.17","60\73","64\34","7\-53"
"ТРЕФОЛЕВА УЛ., д.3","751\413","735\364","-2\-12"
"ТРЕФОЛЕВА УЛ., д.5","201\232","242\291","20\25"
"ТРЕФОЛЕВА УЛ., д.11","62\55","56\37","-10\-33"
"ТРЕФОЛЕВА УЛ., д.15","320\556","638\562","99\1"
"ТРЕФОЛЕВА УЛ., д.22/25","1139\854","1383,13\956","21\12"
"ТРЕФОЛЕВА УЛ., д.26","76\39","90\48","18\23"
"ТУРБИННАЯ УЛ., д.11","3\39","71\74","2267\90"
"ТУРГЕНЕВСКИЙ ПЕР., д.3","253\149","14\32","-94\-79"
"ТУРГЕНЕВСКИЙ ПЕР., д.5","141\76","100\43","-29\-43"
"УРЮПИН ПЕР., д.2/6","53\33","114\48","115\45"
"УРЮПИН ПЕР., д.5","226\201","107\100","-53\-50"
"ШВЕЦОВА УЛ., д.10","887\333","16\687","-98\106"
"ШОТЛАНДСКАЯ УЛ., д.3","722\249","464\154","-36\-38"
