"СТАЧЕК ПР., д.33/2","30\42","41\47","37\12"
"СТАЧЕК ПР., д.34, корп.2","147\80","139\75","-5\-6"
"СТАЧЕК ПР., д.35","21\18","25\20","19\11"
"СТАЧЕК ПР., д.41","251\199","368\284","47\43"
"СТАЧЕК ПР., д.42","10\7","2\2","-80\-71"
"СТАЧЕК ПР., д.95, корп.1","2776\1805","3213\2326","16\29"
"СТАЧЕК ПР., д.101, корп.1А","958,53\639","885,63\762","-8\19"
"СТАЧЕК ПР., д.101, корп.1Б","249,64\381","266,14\472","7\24"
"СТАЧЕК ПР., д.101, корп.1В","1530\873","1809\1206","18\38"
"СТАЧЕК ПР., д.101, корп.1Г","798\468","1002\702","26\50"
"СТАЧЕК ПР., д.101, корп.1Д","819\501","949\640","16\28"
"СТАЧЕК ПР., д.102","133\72","133\72","0\0"
"СТАЧЕК ПР., д.103, корп.1","1135,9\1144","1571,62\1725","38\51"
"СТАЧЕК ПР., д.105, корп.2А","648\381","506\374","-22\-2"
"СТАЧЕК ПР., д.105, корп.2Б","832,59\679","907,65\627","9\-8"
"СТАЧЕК ПР., д.105, корп.2В","505\536","2440\1073","383\100"
"СТАЧЕК ПР., д.105, корп.2Г","892\567","870\614","-2\8"
"СТАЧЕК ПР., д.105, корп.2Д","835,73\1173","2295,64\1650","175\41"
"СТАЧЕК ПР., д.105, корп.2Е","1121,68\740","1089,95\777","-3\5"
"СТАЧЕК ПР., д.105, корп.2Ж","525,24\813","2097,76\1143","299\41"
"СТАЧЕК ПР., д.105, корп.2З","854,92\697","938,42\785","10\13"
"СТАЧЕК ПР., д.107, корп.1","933,58\516","883,18\553","-5\7"
"ТРАКТОРНАЯ УЛ., д.3","44\50","38\45","-14\-10"
"ТРАКТОРНАЯ УЛ., д.4","45\27","41\22","-9\-19"
"ТРАКТОРНАЯ УЛ., д.4А","129\155","121\149","-6\-4"
"ТРАКТОРНАЯ УЛ., д.5","94\67","85\61","-10\-9"
"ТРАКТОРНАЯ УЛ., д.6","16\18","12\13","-25\-28"
"ТРАКТОРНАЯ УЛ., д.6, корп.2","10\9","8\7","-20\-22"
"ТРАКТОРНАЯ УЛ., д.7","80,93\68","71,52\62","-12\-9"
"ТРАКТОРНАЯ УЛ., д.8","47\10","43\8","-9\-20"
"ТРАКТОРНАЯ УЛ., д.9","158\129","153\122","-3\-5"
"ТРАКТОРНАЯ УЛ., д.10","20\16","16\14","-20\-13"
"ТРАКТОРНАЯ УЛ., д.12","58\36","54\32","-7\-11"
"ТРАКТОРНАЯ УЛ., д.13","32\41","28\39","-13\-5"
"ТРАКТОРНАЯ УЛ., д.15","111\76","109\72","-2\-5"
"ТРАМВАЙНЫЙ ПР., д.5","881\0","881\0","0\-"
"ТРАМВАЙНЫЙ ПР., д.7, корп.1","80\105","107\127","34\21"
"ТРАМВАЙНЫЙ ПР., д.7, корп.2","612\316","654\328","7\4"
"ТРАМВАЙНЫЙ ПР., д.9, корп.1","81\140","97\162","20\16"
"ТРАМВАЙНЫЙ ПР., д.9, корп.2","150\77","170\88","13\14"
"ТРАМВАЙНЫЙ ПР., д.11, корп.1","16\41","7\42","-56\2"
"ТРАМВАЙНЫЙ ПР., д.11, корп.2","15\43","30\63","100\47"
"ТРАМВАЙНЫЙ ПР., д.11, корп.3","60\117","887\0","1378\-100"
"ТРАМВАЙНЫЙ ПР., д.11, корп.6","826\384","782\359","-5\-7"
"ТРАМВАЙНЫЙ ПР., д.13, корп.1","96\58","129\105","34\81"
"ТРАМВАЙНЫЙ ПР., д.13, корп.2","17\19","14\23","-18\21"
"ТРАМВАЙНЫЙ ПР., д.13, корп.3",,,
"ТРАМВАЙНЫЙ ПР., д.15, корп.1","121\117","134\168","11\44"
"ТРАМВАЙНЫЙ ПР., д.15, корп.2","73\43","72\64","-1\49"
"ТРАМВАЙНЫЙ ПР., д.15, корп.3","47\61","39\63","-17\3"
"ТРАМВАЙНЫЙ ПР., д.17","28\37","33\51","18\38"
"ТРЕФОЛЕВА УЛ., д.3","830\369","813\361","-2\-2"
"ТРЕФОЛЕВА УЛ., д.5","121\132","197\129","63\-2"
