"АВТОВСКАЯ УЛ., д.21","243,05\223,65","271,05\233,65","12\4"
"МАРШАЛА КАЗАКОВА УЛ., д.10, корп.1Б","1265,7\647,45","1396,86\802,45","10\24"
"МАРШАЛА КАЗАКОВА УЛ., д.10, корп.1В","1962,29\954,1","1687,49\837,1","-14\-12"
"МАРШАЛА КАЗАКОВА УЛ., д.10, корп.1Д","1463,48\884","1410,21\981","-4\11"
"МАРШАЛА КАЗАКОВА УЛ., д.13","689,55\359,4","1902,12\680,4","176\89"
"МЕТРОСТРОЕВЦЕВ УЛ., д.2","391,875\260,9","424,175\282,9","8\8"
"МЕТРОСТРОЕВЦЕВ УЛ., д.3","116,75\75,25","80\54","-31\-28"
"МОРСКОЙ ПЕХОТЫ УЛ., д.4","2477,8\1263","2487,8\1367","0\8"
"МОРСКОЙ ПЕХОТЫ УЛ., д.6, корп.1","1451,27\435,75","1947,95\570,75","34\31"
"МОРСКОЙ ПЕХОТЫ УЛ., д.10, корп.1","2191,95\1049,2","2306,95\1187,2","5\13"
"МОРСКОЙ ПЕХОТЫ УЛ., д.14","1457,3\796,6","1534,3\875,6","5\10"
"НАРОДНОГО ОПОЛЧЕНИЯ ПР., д.7","375,6\174,55","523,6\240,55","39\38"
"НОВАТОРОВ БУЛЬВАР, д.1","350,865\269,3","448,065\319,3","28\19"
"НОВАТОРОВ БУЛЬВАР, д.3","212,1\107,75","214,1\104,75","1\-3"
"НОВООВСЯННИКОВСКАЯ УЛ., д.9","30,65\15,25","24,65\11,25","-20\-26"
"НОВООВСЯННИКОВСКАЯ УЛ., д.13","59,25\30,35","51,25\26,35","-14\-13"
"НОВООВСЯННИКОВСКАЯ УЛ., д.19, корп.2","42\21","38\19","-10\-10"
"НОВОСТРОЕК УЛ., д.8","96,6\56,35","44,6\24,35","-54\-57"
"НОВОСТРОЕК УЛ., д.20","242,75\137,35","287,75\161,35","19\17"
"НОВОСТРОЕК УЛ., д.25","259,378\156,45","335,878\198,45","29\27"
"НОВОСТРОЕК УЛ., д.27","39,45\17,8","76,45\40,8","94\129"
"НОВОСТРОЕК УЛ., д.28","147,55\80,75","172,55\93,75","17\16"
"НОВОСТРОЕК УЛ., д.29","208,59\123,85","191,59\114,85","-8\-7"
"НОВОСТРОЕК УЛ., д.31","281,9\0","345,1\205","22\-"
"НОВОСТРОЕК УЛ., д.33","229,75\136,9","268,75\164,9","17\20"
"НОВОСТРОЕК УЛ., д.35","222,063\152,65","233,963\159,65","5\5"
"ОБОРОННАЯ УЛ., д.3","256,6\140,4","288,6\163,4","12\16"
"ОБОРОННАЯ УЛ., д.4","715,8\360,85","501,8\256,85","-30\-29"
